Öğrenci No;Cinsiyet;Doğum Yılı;Okul Türü;Sınıf Düzeyi;Baba Mesleği;Baba Eğitim Düzeyi;Anne Mesleği;Anne Eğitim Düzeyi;Kardeş Sayısı;Kitap Sayısı;Evde Bilgisayar;Evde İnternet;Evde Çalışma Odası;Sınıf 9 Notu;Sınıf 10 Notu;Sınıf 11 Notu;Not Ortalaması aps;Ders Dinleme Önemi;Ders Çalışma Önemi;Ödev Yapma Önemi;Okul Kursu Önemi;Özel Ders Sıklığı;Drsn Fizik Sıklığı;Drsn ÖSS Sıklığı;En sevilen konu;lsi11;lsi12;lsi13;lsi14;lsi21;lsi22;lsi23;lsi24;lsi31;lsi32;lsi33;lsi34;lsi41;lsi42;lsi43;lsi44;lsi51;lsi52;lsi53;lsi54;lsi61;lsi62;lsi63;lsi64;lsi71;lsi72;lsi73;lsi74;lsi81;lsi82;lsi83;lsi84;lsi91;lsi92;lsi93;lsi94;lsi101;lsi102;lsi103;lsi104;lsi111;lsi112;lsi113;lsi114;lsi121;lsi122;lsi123;lsi124;pas1;pas2;pas3;pas4;pas5;pas6;pas7;pas8;pas9;pas10;pas11;pas12;pas13;pas14;pas15;pas16;pas17;pas18;pas19;pas20;pas21;pas22;pas23;pas24;pas25;pas26;pas27;pas28;pas29;pas30;pas31;pas32;pas33;pas34;pas35;pas36;pas37;pas38;pas39;pas40;a1;a2;a3;a4;a5;a6;b1;b2;b3;b4;b5;b6;b7;b8;b9;b10;b11;b12;b13;b14;b15;b16;b17;b18;b19;b20;b21;b22;b23;c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;CE;RO;AC;AE;CE-AC;RO-AE;lst;pass
12-x10;1;90;1;10;9;5;14;2;2;1;1;1;0;2;2;;2;1;3;2;2;1;1;1;0;4;2;1;3;4;2;1;3;3;4;2;1;3;2;1;4;1;2;3;4;1;2;3;4;4;3;2;1;4;2;3;1;4;3;1;2;3;4;1;2;2;1;4;3;1;2;3;4;3;3;1;2;4;1;5;5;3;4;1;2;1;1;1;5;2;4;5;2;1;1;5;2;4;2;5;1;1;1;;2;1;1;4;3;1;1;2;1;1;1;2;1;4;2;1;1;2;4;4;4;4;3;2;3;1;4;4;4;4;1;2;1;2;1;4;3;2;4;4;4;4;2;2;3;2;3;4;2;1;34;29;25;32;9;-3;2;32
12-x11;2;91;1;10;11;5;11;5;0;4;1;1;1;3;2;;2,5;1;2;1;3;1;3;4;7;1;4;3;2;1;3;4;2;2;1;4;3;1;2;3;4;2;1;4;3;1;4;3;2;1;3;2;4;4;1;2;3;1;3;2;4;1;2;4;3;1;4;3;2;1;3;2;4;3;2;2;3;4;2;3;3;2;3;3;2;4;3;2;4;3;4;4;2;4;3;4;4;4;4;4;2;2;2;4;4;2;2;3;4;3;3;3;3;2;4;4;3;3;2;2;2;4;4;4;4;4;3;4;3;4;2;2;3;4;4;4;3;4;3;4;3;4;4;4;4;4;4;3;4;4;2;3;4;4;17;31;36;36;-19;-5;3;28
12-x12;2;91;1;10;13;2;14;1;4;3;0;0;1;4;1;;2,5;1;1;1;2;1;1;1;7;1;4;3;2;1;2;3;4;4;1;3;2;1;2;3;4;2;3;1;4;1;4;3;2;1;3;2;4;2;1;3;4;1;3;2;4;3;1;2;4;4;2;1;3;3;4;2;1;4;2;2;4;4;2;2;3;3;4;4;2;5;1;3;4;4;3;5;2;1;4;2;4;5;5;5;1;1;2;4;;2;2;5;5;2;1;4;4;1;4;4;3;4;2;2;2;2;4;1;4;4;4;4;3;4;3;4;3;4;4;4;2;2;4;2;;4;1;2;4;4;4;2;3;3;1;2;2;3;24;30;28;38;-4;-8;3;32
12-x13;1;90;2;10;12;4;14;3;3;4;1;1;1;5;5;;5;2;2;1;3;1;4;5;-1;2;3;4;1;1;2;4;3;2;1;4;3;1;2;3;4;2;3;4;1;2;3;4;1;1;2;4;3;2;3;4;1;1;2;4;3;2;1;4;3;3;1;4;2;1;3;4;2;4;1;1;3;1;2;5;5;2;4;3;3;5;1;2;3;4;2;4;3;2;5;4;1;4;4;2;3;2;2;3;1;3;3;2;4;5;2;2;4;2;2;3;3;1;3;3;1;2;4;2;4;4;3;3;4;4;4;4;4;4;4;4;1;4;1;4;4;4;1;3;3;4;4;1;4;3;3;1;3;4;20;26;47;27;-27;-1;3;6
12-x7;1;91;1;10;13;2;14;1;4;1;0;0;0;4;;;4;2;2;2;3;1;1;1;1;3;4;1;2;1;3;4;2;3;4;2;1;1;2;3;4;1;4;2;3;1;3;4;2;2;1;4;3;1;2;3;4;2;1;3;4;4;3;1;2;1;4;3;2;2;3;1;4;4;3;2;4;2;2;3;4;4;;4;2;2;2;3;2;1;2;4;2;3;4;4;1;2;4;4;3;2;2;3;2;3;4;2;2;4;4;2;2;3;3;4;4;4;2;2;1;4;4;4;4;4;4;4;2;4;3;4;4;4;4;4;2;4;1;4;3;4;3;4;4;4;4;3;4;4;3;2;4;4;22;34;31;33;-9;1;4;3
12-x8;1;91;1;10;16;4;16;4;0;4;1;0;1;4;3;;3,5;1;2;2;3;2;1;1;7;1;2;4;3;1;4;2;3;2;1;4;3;1;2;3;4;3;4;2;1;1;3;4;2;1;3;2;4;3;2;1;4;1;3;2;4;1;2;4;3;4;3;2;3;3;4;2;1;4;3;2;4;4;1;3;5;4;3;2;4;3;2;3;4;3;4;5;2;4;4;4;3;5;4;4;3;2;3;3;3;3;2;4;3;3;1;3;2;3;3;4;3;4;3;3;1;4;4;2;4;4;3;4;3;3;2;3;4;4;4;4;3;4;1;4;3;4;4;4;4;4;4;2;4;4;3;1;4;4;22;33;32;35;-10;-2;3;32
12-x9;1;91;1;10;11;5;21;5;1;4;1;1;1;4;3;;3,5;1;2;2;3;1;3;3;5;1;4;2;3;1;4;2;3;1;2;4;3;1;3;4;2;4;3;1;3;1;3;4;2;1;2;3;4;1;3;4;2;1;2;3;4;4;1;2;3;3;1;2;4;2;4;1;3;4;3;3;5;4;2;3;;2;3;1;5;5;3;4;4;3;1;5;2;5;4;5;4;5;5;4;3;3;3;3;2;2;2;3;4;4;2;4;3;3;3;4;3;4;3;2;1;4;4;3;4;4;3;4;3;4;4;4;4;4;4;4;3;4;1;4;3;4;2;4;4;4;4;1;4;4;4;2;4;4;21;32;32;36;-11;-4;3;24
12-1020;1;90;1;11;13;2;14;4;3;3;0;0;1;4;4;4;4;1;1;1;3;1;5;5;4;1;2;4;3;1;3;4;2;2;4;3;1;1;2;4;3;3;4;1;2;2;1;3;4;2;1;3;4;2;1;3;4;1;2;4;3;2;1;4;3;3;1;2;4;3;2;1;4;3;3;1;3;2;4;2;5;5;2;2;2;2;2;2;2;2;5;5;2;2;2;5;5;5;5;5;2;2;2;2;2;2;2;5;4;3;2;3;2;4;3;4;4;1;2;4;3;1;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;23;24;36;37;-13;-13;3;34
12-1038;2;90;1;11;12;3;14;2;4;2;0;0;1;4;3;5;4;1;1;1;3;1;1;1;15;4;4;4;2;3;3;4;4;2;4;4;4;3;4;3;2;2;4;3;3;3;2;3;3;1;3;4;3;2;4;4;4;2;3;4;4;3;4;4;4;4;3;4;2;3;4;2;4;2;2;1;3;3;1;2;4;4;2;1;4;4;1;2;4;4;4;4;2;2;3;4;4;4;4;4;2;1;2;4;4;3;2;4;4;2;1;4;3;1;3;4;3;3;2;2;1;4;2;4;4;4;2;4;2;3;3;2;3;4;4;4;1;4;1;4;4;4;3;4;4;4;4;2;4;4;2;2;3;2;32;42;43;39;-11;3;4;45
12-1043;1;90;1;11;4;5;5;5;1;4;1;1;1;5;4;5;4,666666667;2;1;1;3;3;5;5;12;2;3;4;1;1;2;4;3;1;2;4;3;1;2;4;3;1;3;2;4;1;2;4;3;1;3;2;4;2;1;3;4;1;2;3;4;4;2;3;1;1;3;4;2;1;2;4;3;3;5;3;4;3;1;1;1;1;4;2;3;4;1;3;4;;4;5;5;2;5;5;3;1;4;1;3;5;1;5;1;3;3;3;4;4;4;3;1;1;4;4;4;1;3;4;3;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;1;4;1;4;2;4;4;1;4;4;1;1;4;4;17;27;41;35;-24;-8;3;4
12-1087;2;90;1;11;4;2;14;2;1;3;1;0;1;5;5;5;5;1;2;2;3;1;5;5;15;2;3;4;1;1;3;4;2;3;1;4;2;1;2;3;4;2;3;4;1;3;2;4;1;3;1;4;2;1;2;3;4;1;2;3;4;3;1;4;2;3;2;1;4;2;3;1;4;3;4;4;5;4;3;3;5;3;4;2;4;2;4;2;4;3;4;4;2;5;3;4;4;4;4;4;2;2;3;4;2;3;3;4;4;5;3;3;3;1;4;4;4;1;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;25;25;39;31;-14;-6;3;22
12-1104;1;90;1;11;33;4;16;5;1;2;0;0;1;3;4;5;4;2;2;1;3;1;3;5;20;1;3;4;2;1;2;4;3;2;1;4;3;1;2;4;3;3;1;4;2;1;3;4;2;1;2;4;3;1;2;4;3;1;2;3;4;2;1;4;3;1;3;4;2;4;1;2;3;2;5;3;3;4;4;2;3;5;4;5;4;4;5;1;4;4;1;4;2;5;5;4;5;5;5;5;1;3;5;1;1;3;3;3;5;5;5;4;1;1;3;4;4;1;3;3;2;4;4;3;4;4;3;4;3;4;4;4;4;4;4;4;2;4;1;4;3;4;3;4;4;4;4;2;4;4;2;1;4;4;19;23;45;33;-26;-10;3;15
12-1114;1;90;1;11;5;5;14;4;1;2;1;0;1;2;1;4;2,333333333;2;2;2;3;1;3;5;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;5;3;3;1;4;;1;4;5;4;4;3;4;2;2;1;4;2;2;5;2;2;2;2;4;4;3;3;;1;5;5;1;2;5;5;1;5;1;4;4;4;1;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;1;-35
12-1240;1;90;1;11;13;5;14;4;1;2;1;1;1;5;5;5;5;2;1;1;3;1;5;5;12;1;4;2;3;1;2;4;3;2;1;4;3;1;2;3;4;4;2;1;3;1;2;4;3;1;3;2;4;2;1;3;4;1;3;2;4;2;1;4;3;1;2;3;4;3;2;4;1;3;3;2;1;3;1;3;3;3;3;3;3;4;;2;2;4;4;3;3;2;3;4;4;3;3;3;2;2;3;3;1;2;2;3;3;3;3;3;3;2;3;4;4;1;3;4;1;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;3;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;20;25;36;39;-16;-14;3;16
12-1266;1;90;1;11;47;5;38;5;1;4;1;1;0;4;2;4;3,333333333;1;2;2;3;1;5;5;12;2;3;4;1;4;1;2;3;4;1;3;2;1;2;4;3;2;3;4;1;4;2;3;1;1;3;4;2;2;1;4;3;1;2;4;3;3;1;4;2;3;2;4;1;3;2;4;1;1;1;1;5;5;1;1;5;5;1;1;3;5;1;1;5;5;5;5;1;5;1;5;5;5;5;5;1;1;1;5;5;1;1;5;5;1;1;5;1;1;1;3;1;3;1;1;1;2;3;1;4;3;1;3;1;4;1;3;2;3;3;3;1;3;1;3;3;3;3;2;3;3;3;2;3;3;2;1;3;3;30;23;44;23;-14;0;4;84
12-1277;1;87;1;11;15;2;14;2;4;1;0;0;1;;;2;2;1;1;1;2;5;1;1;0;2;4;1;3;2;4;3;1;2;1;3;4;1;3;2;4;2;1;3;4;1;3;4;2;2;3;1;4;1;2;3;4;1;2;3;4;1;2;3;4;3;2;1;4;3;2;1;4;2;2;3;3;3;2;2;4;4;2;2;3;3;2;2;4;3;2;3;;2;3;3;2;4;2;2;3;4;2;3;4;5;5;5;5;5;5;5;5;2;2;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;4;3;3;2;2;2;2;3;3;4;4;21;29;28;42;-7;-13;3;13
12-1331;1;90;1;11;13;4;14;4;1;2;1;1;1;2;3;4;3;2;2;2;3;3;5;5;-1;1;2;4;3;1;2;3;4;3;1;4;2;1;2;3;4;;;;;1;3;2;4;1;2;3;4;1;2;3;4;1;2;4;3;2;1;3;4;2;1;3;4;2;1;3;4;5;3;1;2;2;4;5;5;2;5;5;4;1;1;5;3;3;1;1;1;3;1;1;1;1;1;1;3;3;1;3;5;1;3;3;1;5;5;1;5;2;3;3;3;1;3;3;1;3;3;4;1;4;3;4;4;4;4;4;4;4;4;4;3;3;1;4;3;4;3;4;3;2;3;3;3;4;4;3;4;4;16;19;35;40;-19;-21;3;-17
12-1355;2;90;1;11;5;5;14;4;1;3;1;0;1;5;3;5;4,333333333;2;2;1;3;1;5;5;14;2;3;4;1;1;3;2;4;2;3;4;1;1;2;3;4;1;3;4;2;2;3;1;4;1;3;2;4;3;2;1;4;2;1;3;4;1;3;2;4;1;3;2;4;4;3;1;2;3;5;4;3;5;1;2;5;5;2;4;4;5;1;1;5;3;5;5;1;4;5;5;5;5;5;5;4;1;2;5;5;1;1;5;5;1;1;5;2;3;4;4;4;1;2;1;1;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;3;4;3;1;4;4;4;1;4;4;1;1;4;1;21;32;29;38;-8;-6;3;57
12-1366;1;88;1;11;15;1;14;1;4;1;0;0;1;4;4;5;4,333333333;1;1;1;3;1;4;4;13;1;3;4;4;2;3;3;4;1;2;3;4;1;2;3;3;3;2;3;2;1;2;3;1;1;2;1;4;3;2;3;4;1;1;2;4;2;1;3;4;3;1;2;1;2;4;2;3;5;4;4;2;4;3;4;3;2;4;4;2;4;2;5;4;2;2;4;2;2;5;4;1;4;4;5;5;1;5;4;1;4;1;4;3;1;4;4;1;3;3;4;3;4;1;2;1;4;4;2;4;4;4;4;3;4;2;4;3;4;4;4;1;4;1;4;2;4;4;3;4;4;2;3;4;2;4;1;4;4;21;25;32;38;-11;-13;3;1
12-1679;1;89;1;11;5;5;1;5;1;4;1;1;1;3;3;5;3,666666667;2;3;2;2;3;5;5;2;4;3;1;2;2;4;3;1;4;1;3;2;1;4;3;2;4;3;1;2;1;2;4;3;2;4;1;3;4;1;2;3;1;4;2;3;1;2;4;3;2;3;1;4;1;2;3;4;2;3;3;5;4;1;3;5;5;3;1;4;4;3;2;4;3;1;4;4;1;3;4;4;5;4;3;2;3;3;2;2;3;3;4;4;4;2;2;1;1;4;4;4;1;1;2;3;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;4;1;4;4;4;4;4;4;4;4;2;4;4;3;3;4;4;27;33;28;32;-1;1;4;25
12-263;1;90;1;11;1;5;1;5;1;3;0;0;1;4;2;4;3,333333333;1;1;2;3;1;5;5;20;2;4;1;3;2;4;1;3;1;4;2;3;1;3;4;2;1;4;2;3;2;4;3;1;1;4;2;3;3;1;2;4;1;3;2;4;4;2;1;3;2;4;3;1;1;4;2;3;4;2;4;1;3;4;5;5;1;4;5;1;1;1;5;1;3;2;5;5;2;4;2;1;3;4;1;5;4;1;2;;4;5;1;4;3;5;2;5;1;3;4;4;1;2;4;1;3;4;1;4;4;4;4;4;4;4;4;4;4;4;4;3;4;2;4;3;4;1;4;4;4;3;1;4;3;3;2;4;3;21;41;25;33;-4;8;4;-30
12-316;1;90;1;11;17;4;14;3;1;2;1;0;1;3;3;5;3,666666667;1;1;2;3;5;5;5;26;1;3;2;4;1;3;2;4;2;1;4;3;1;2;3;4;2;3;4;1;1;2;3;4;2;3;1;4;2;1;3;4;1;2;3;4;2;1;4;3;2;1;4;3;2;4;3;1;3;4;4;2;2;3;3;;1;3;1;1;4;3;4;1;1;4;4;4;3;4;4;4;3;3;4;4;2;3;3;1;4;3;4;4;4;2;4;4;1;1;3;3;4;1;1;1;1;4;1;4;4;3;3;3;4;1;3;4;4;4;4;1;4;1;4;4;4;1;3;4;4;1;1;4;4;2;1;3;4;19;26;36;39;-17;-13;3;-5
12-324;2;90;1;11;19;5;11;5;1;3;0;0;1;;;;;2;3;3;3;1;5;5;15;2;3;4;1;4;4;4;4;1;1;4;3;3;4;4;2;4;3;4;2;4;4;4;2;2;4;4;3;3;1;4;4;2;4;4;4;1;2;4;2;4;4;2;4;4;4;4;2;5;3;2;1;1;3;5;3;1;5;1;2;2;3;5;2;1;1;2;3;4;5;1;2;1;1;1;3;3;3;2;1;4;3;1;3;5;4;1;4;1;1;4;4;1;2;3;4;4;4;3;4;4;3;4;4;4;4;4;4;4;4;4;2;4;1;2;4;4;4;4;4;4;4;4;2;2;3;4;;2;34;38;46;33;-12;5;4;-35
12-414;2;90;1;11;;2;14;2;2;2;0;0;1;4;3;5;4;1;1;1;3;1;1;1;20;2;4;3;1;1;4;2;3;1;2;3;4;1;3;2;4;1;3;2;4;2;4;3;1;3;2;1;4;2;1;3;4;1;3;2;4;2;1;3;4;3;1;2;4;2;4;1;3;2;3;2;4;;1;3;4;4;2;2;4;5;1;2;3;3;4;5;2;4;3;4;4;5;4;4;3;1;2;3;4;2;2;4;4;3;2;4;3;1;3;4;3;1;3;2;1;4;4;1;4;4;3;4;3;4;4;3;3;4;4;4;1;4;1;4;4;4;2;4;4;4;4;1;4;4;1;1;3;3;21;32;27;40;-6;-8;3;39
12-51;1;90;1;11;11;5;11;5;1;4;1;1;1;4;2;4;3,333333333;2;1;2;3;5;5;5;26;1;2;4;3;1;2;4;3;1;2;4;3;1;2;4;3;3;2;4;1;4;2;3;1;1;2;3;4;2;1;3;4;1;2;3;4;2;1;4;3;2;1;4;3;1;2;3;4;1;1;1;2;5;2;1;1;5;2;2;3;5;1;1;5;5;5;4;1;3;3;5;5;5;5;5;2;1;2;5;5;5;5;5;5;1;1;5;1;2;3;4;2;1;3;2;1;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;2;4;1;4;3;4;2;4;4;4;4;2;4;4;2;2;2;2;20;21;43;36;-23;-15;3;59
12-x14;1;91;1;11;13;4;14;1;3;1;0;0;1;4;1;4;3;1;2;3;3;5;5;3;12;4;4;3;1;;;;;4;3;2;1;4;3;4;2;1;2;4;3;2;3;4;4;4;4;4;1;4;1;1;4;4;4;4;4;1;4;4;4;2;4;4;4;4;4;4;4;2;3;1;5;5;1;1;5;5;3;1;5;5;1;1;5;5;5;5;1;5;1;5;5;5;5;5;1;1;1;5;5;1;1;1;5;1;1;5;1;1;1;4;3;4;2;2;2;4;4;2;4;4;1;4;4;2;1;2;4;4;4;4;4;4;1;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;34;36;38;32;-4;4;4;77
12-x15;1;90;1;11;15;3;14;1;4;3;0;0;0;3;5;5;4,333333333;1;1;2;3;1;1;1;5;1;2;4;1;1;4;4;1;1;3;3;1;1;4;4;3;2;1;1;1;1;1;4;2;4;4;4;4;1;2;1;4;1;4;4;4;1;3;4;3;2;4;2;1;4;4;4;4;4;4;4;1;1;1;4;3;1;4;4;1;1;4;4;1;1;1;4;4;4;4;1;3;2;1;2;1;2;4;2;1;3;4;2;2;4;4;1;4;1;3;4;4;1;3;4;1;4;4;4;4;4;4;4;3;4;4;4;4;4;4;4;3;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;20;36;39;29;-19;7;4;-31
12-x16;2;90;1;11;11;4;;2;1;4;1;0;1;4;2;5;3,666666667;1;;;;1;5;5;4;1;3;4;2;1;3;4;2;3;1;4;2;1;2;4;3;2;3;4;1;1;3;4;2;1;4;2;3;1;2;4;3;1;2;4;3;2;1;4;3;2;2;4;3;3;2;4;1;4;4;4;4;2;4;4;4;2;4;4;;1;4;5;1;4;1;4;5;3;5;2;1;1;1;3;3;3;2;2;2;4;4;2;1;5;3;4;4;;4;4;4;1;2;2;1;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;2;4;;4;1;4;4;4;4;4;4;4;4;4;4;4;19;28;46;28;-27;0;4;-30
12-x17;2;90;1;11;3;5;1;5;1;3;1;1;1;3;2;5;3,333333333;1;1;1;3;1;5;5;3;2;4;1;4;4;4;3;4;1;1;4;3;2;4;4;4;4;4;4;4;4;4;2;3;2;4;4;4;3;3;4;4;3;3;4;4;4;1;4;3;4;4;4;4;3;3;3;3;3;4;3;2;4;3;4;1;1;5;5;1;5;3;4;1;5;1;3;4;5;1;4;3;2;2;3;4;4;1;1;1;3;3;2;4;5;3;3;3;1;1;1;1;1;1;1;1;3;1;1;4;4;1;4;4;4;4;4;4;4;4;;1;4;1;4;4;3;4;4;4;4;4;4;4;4;4;2;4;4;36;39;41;44;-5;-5;3;-11
12-x18;2;90;1;11;47;5;43;4;1;4;1;0;1;4;3;5;4;2;1;2;3;5;5;5;3;2;4;1;4;4;4;2;4;1;1;4;3;1;4;3;4;3;4;4;3;2;3;4;4;1;4;2;4;1;3;2;4;1;4;4;4;4;1;2;1;3;4;2;4;4;3;2;3;5;5;4;4;5;4;5;5;4;5;5;5;5;1;4;5;3;4;5;3;5;5;3;5;5;5;3;4;2;1;5;3;5;2;5;2;5;4;3;1;1;1;4;4;1;1;2;1;1;4;4;4;4;1;4;3;3;1;4;4;4;4;4;1;4;1;4;3;3;2;4;3;4;4;3;4;4;4;3;4;4;27;39;32;42;-5;-3;3;19
12-x19;2;90;1;11;18;4;14;4;2;4;1;0;1;5;2;4;3,666666667;2;1;2;3;5;5;5;3;2;4;1;4;4;4;3;4;1;1;4;3;1;4;3;4;;;;;2;3;4;4;1;4;2;4;;;;;1;4;4;4;4;1;2;1;4;4;4;4;4;4;2;4;5;5;3;1;1;2;5;4;1;5;5;2;4;5;5;2;1;1;4;5;2;5;1;4;2;1;3;4;4;3;3;1;4;5;1;5;5;3;2;5;1;1;4;4;1;1;2;1;1;4;4;4;4;1;4;3;3;1;4;4;4;4;4;1;4;1;4;3;3;2;4;3;4;4;3;4;4;4;3;4;4;24;33;29;36;-5;-3;3;-37
12-x20;1;90;1;11;;5;11;5;1;1;1;1;1;;;;;3;3;3;3;3;1;1;-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;5;3;1;5;5;5;3;5;5;1;1;4;5;1;1;1;1;5;1;5;1;1;1;1;1;5;5;1;1;1;5;5;3;1;5;5;1;3;4;4;4;2;1;3;4;4;4;4;1;4;4;4;4;4;1;4;4;4;4;4;4;4;4;2;;1;4;4;4;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;1;-57
12-x21;1;90;1;11;5;5;5;5;0;4;0;0;1;3;3;4;3,333333333;1;1;1;3;1;5;5;3;3;4;2;1;2;3;2;4;2;1;4;3;1;3;2;4;4;3;2;1;1;4;3;2;2;1;4;3;3;2;1;4;4;3;2;1;1;4;3;2;2;1;4;3;3;2;1;4;3;3;3;3;3;3;3;3;3;2;5;3;1;2;3;3;3;3;3;3;3;1;3;1;3;3;1;3;3;3;3;3;1;3;3;1;3;3;3;2;1;2;4;4;1;1;1;1;3;4;2;4;4;3;4;2;4;3;4;4;4;4;4;1;4;1;4;4;4;4;4;4;4;4;4;4;4;4;1;1;4;28;31;30;32;-2;-1;3;3
12-x22;1;90;1;11;13;4;14;2;2;2;0;0;1;4;5;5;4,666666667;1;1;1;3;1;5;5;25;1;4;2;3;1;4;2;3;1;4;3;2;1;4;2;3;1;4;3;2;1;4;3;2;2;3;1;4;2;3;1;4;1;3;2;4;1;4;3;2;3;4;2;1;3;4;2;1;4;3;2;1;3;2;3;5;4;;3;2;3;3;2;3;2;3;4;2;2;5;3;3;4;4;4;2;2;3;2;3;2;3;2;3;2;3;4;3;1;3;4;3;2;1;1;1;4;4;3;4;4;3;4;3;1;3;4;4;4;4;4;3;4;1;4;3;4;3;3;4;4;4;2;4;4;4;3;4;4;18;45;26;31;-8;14;4;15
12-x23;1;90;1;11;8;5;8;5;1;4;1;1;1;5;5;5;5;1;1;1;3;1;5;5;17;1;4;2;3;1;4;3;2;1;2;4;3;1;3;4;2;1;4;3;2;1;3;4;2;1;3;2;4;1;2;4;3;1;2;3;4;1;2;4;3;3;2;4;1;2;4;1;3;2;2;1;4;4;1;2;4;3;2;2;4;4;1;2;4;4;4;5;2;5;3;4;4;5;5;5;1;2;1;3;3;2;1;4;5;3;1;4;2;1;2;4;3;3;1;3;1;2;4;3;4;4;4;4;3;2;4;1;1;4;3;4;2;4;1;4;3;4;2;3;3;4;2;1;4;3;1;1;4;2;15;35;38;32;-23;3;4;54
12-x24;1;90;1;11;;5;14;2;1;4;1;1;1;1;1;4;2;1;2;2;3;1;5;5;-1;1;3;4;2;3;4;2;1;4;1;2;3;1;2;3;4;4;1;2;3;2;1;3;4;;;;;1;3;2;4;1;2;3;4;3;1;4;2;2;3;1;4;4;3;1;2;5;5;5;4;;3;4;4;3;5;5;4;1;4;5;2;1;1;2;4;3;5;1;3;1;1;1;3;4;2;4;1;5;5;1;2;5;2;1;5;2;3;3;2;1;1;3;3;4;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;1;4;3;4;3;4;4;4;4;2;4;4;3;2;4;4;26;24;27;33;-1;-9;3;-40
12-x25;1;90;1;11;12;4;11;4;1;4;1;0;1;4;0;4;2,666666667;1;3;3;3;1;5;5;1;1;2;3;4;1;4;3;2;1;2;4;3;1;4;2;3;1;4;2;3;1;2;3;4;1;4;2;3;1;3;2;4;1;4;2;3;1;2;4;3;2;4;3;1;1;4;2;3;5;5;5;5;4;4;3;5;5;3;1;5;5;5;5;5;1;1;5;5;5;5;3;5;5;5;5;2;5;5;5;5;5;5;5;5;5;5;5;5;3;4;4;4;1;1;4;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;13;39;32;36;-19;3;4;11
12-x26;1;90;1;11;;2;;2;0;2;1;1;1;0;0;0;0;3;3;3;3;1;1;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5;5;5;5;1;5;5;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;1;5;1;1;1;5;5;5;5;1;5;5;5;1;5;5;1;5;4;4;4;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;0;0;0;0;0;0;1;-26
12-x27;1;89;1;11;13;2;14;3;2;4;0;0;1;3;4;5;4;1;1;2;3;1;4;5;15;4;4;4;4;4;4;4;4;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;1;4;4;4;4;4;3;2;4;1;4;4;4;4;4;4;4;4;4;4;4;4;1;3;3;2;4;1;1;1;2;4;5;3;2;1;3;4;2;5;2;4;3;1;1;1;1;1;2;4;5;5;3;3;4;1;2;3;3;2;1;1;1;2;3;2;3;1;1;2;1;1;2;4;3;1;1;2;3;1;2;1;2;1;2;2;3;2;1;1;2;1;1;1;1;2;2;3;4;2;3;1;1;44;43;45;45;-1;-2;3;-4
12-x28;1;90;1;11;11;5;14;4;1;2;1;1;1;5;5;5;5;1;2;2;3;1;5;5;14;1;2;4;3;4;3;2;1;4;1;3;2;1;2;3;4;1;2;4;3;1;2;3;4;2;1;4;3;3;1;4;2;1;2;4;3;2;1;4;3;3;1;2;4;4;1;2;3;3;4;2;4;3;2;3;4;1;3;5;2;4;2;5;1;1;2;3;4;4;2;2;2;4;4;3;3;3;2;2;1;5;4;2;3;4;3;3;4;2;3;4;3;1;1;1;1;2;4;2;4;4;4;3;3;3;3;4;3;3;4;4;3;4;1;4;4;4;1;4;3;3;3;2;4;3;4;3;4;4;27;19;39;35;-12;-16;3;-8
